Item,beatport_key/1.0
299465 Plastic Operator - The Pleasure Is Mine (Original Mix).jams,0.011404763272249362
299468 Plastic Operator - Couch (Original Mix).jams,0.0
299469 Plastic Operator - Home 0207 (Original Mix).jams,0.010268335453827113
299473 Plastic Operator - Why Don't You? (Original Mix).jams,0.01282404035758362
299482 Contriva - Kapitan (Original Mix).jams,0.0
299488 Contriva - The Things You Said (Dm Coverversion Mix).jams,0.013805799525030428
299489 Komeit - Don't Call (Original Mix).jams,0.01282404035758362
299490 Quarks - Sonntag (James Figurine Some Sundays Mix).jams,0.014355292977070055
299491 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,0.42449782852791
299492 Contriva - 8 Eyes (Tom Thiel Mix).jams,0.0
299497 DJ Rilla - Jah Hear Me (Original Mix).jams,0.00826761598360044
299509 Barbara Morgenstern - Eine Verabredung (Original Mix).jams,0.42449782852791
299546 Jerome Robins - Time Will Tell (Tom Sawyer Mix).jams,0.0
299547 Denis Naidanow - Night Club (Original Mix).jams,0.011140557605200349
299624 Kaiak - Punkt (D.Lewis & Emix Remix).jams,0.011495638837829386
299679 Markus Schulz - Never Be The Same Again feat. Carrie Skipper (Markus Schulz Coldharbour Mix).jams,0.011315313227834146
299681 Tenishia - Five (Original Mix).jams,0.010806754956582863
299701 David Forbes - Better World (Original Mix).jams,0.01097111782100315
299743 Bionik Phunk - Rocket Powder (DBN's Electric Fix).jams,0.0
"299754 Joe Montana, Andrea Introvigne - Saziable (Stereologic Love Mix).jams",0.011495638837829386
299761 The Timewriter - Handsome Machine (Original Mix).jams,0.011681805047635323
299764 The Timewriter - Flicking Pages (Original Mix).jams,0.0
"299769 The Timewriter, Mary Joe - Mary's Wisdom (Original Mix).jams",0.0
299772 The Timewriter - Night Train (Original Mix).jams,0.0
299773 The Timewriter - Soulstickers (Original Mix).jams,0.0
299800 Agnes (ch) - Bass Music For Bass People (Original Mix).jams,0.011404763272249362
299801 Agnes (ch) - Anger Therapy (Original Mix).jams,0.024045473966650917
299807 Precious X Project - Dukkha's Revenge (Radio Edit).jams,0.011140557605200349
299809 Precious X Project - Dukkha's Revenge (Orazio Fatman Remix).jams,0.0
299810 Precious X Project - Dukkha's Revenge (Pornocult Mix).jams,0.0
299817 2 Figli Deep - One For The Angels (Original Mix).jams,0.0
299820 2 Figli Deep - Where Is Everybody? (Original Mix).jams,0.011315313227834146
299832 Starecase - See (Original Mix).jams,0.012072832300574972
299834 Starecase - See (Timo Maas Remix).jams,0.011404763272249362
299836 Starecase - See (Rulers Of The Deep Mix).jams,0.011404763272249362
299849 Woody B. - Holdin' On feat. Brent St. Clair (Kris Reen Sunshine Mix).jams,0.011315313227834146
299862 Violett - Isabella (Original Mix).jams,0.0
299868 Harlem Hustler - Feeling (Dub Mix).jams,0.011140557605200349
299870 Harlem Hustler - U Can Do It (Harlem Hustler Club Mix).jams,0.0
299887 DJ Memo - 12345678910 (Fran Egea Remix).jams,0.0
"299890 Arnaud Le Texier, Luciano Esse - Awakenings (Original Mix).jams",0.0
299932 Mr. Fiction - Open Door (Original Mix).jams,0.0
299933 Mr. Fiction - First Bullet (Original Mix).jams,0.0
299943 Mario Ranieri - Bummnoglzua (Deep 'Veisalgia') (Original Mix).jams,0.0
299945 Mario Ranieri - Bummnoglzua (Clanking 'Bummnoglzua') (Original Mix).jams,0.0
299968 DJ Nasty - U Scared (Original Mix).jams,0.0
299970 DJ Nasty - Wait A Minute (Original Mix).jams,0.0
299976 Paolo Bolognesi - Oh My God (Jurgen Cecconi Remix).jams,0.011140557605200349
299977 Popstitute - Believe (Cencios Mix).jams,0.0
299994 JPLS - Green 01 (Skoozbot's Twilite Remix).jams,0.011495638837829386
299995 JPLS - Twilite 6.1 (Original Mix).jams,0.011495638837829386
3010576 Sky'high - Look At Me Now (Clean Edit).jams,0.0
3011454 DJ Melo - Corrosion (Moombahton Original Mix).jams,0.0
3020003 Daniel Loubscher - Follow Me (Original Mix).jams,0.010806754956582863
"3023456 Bones, B. Brain - Insomnia (Original Mix).jams",0.0
3027735 Hunted - Cycles (Original Mix).jams,0.010492373817642385
30278 Neurotron - Indigo (Alectric Mix).jams,0.0
3028271 Alex Long - Clip Clap And Audiomat (Original Mix).jams,0.011315313227834146
3052009 Radioinactive - Mud (Original Mix).jams,0.0161196653632769
307186 Cut La Roc - Crazy Dope Pimp Sh*t (Original Mix).jams,0.0
3078576 Douglas Palmer - Electronic (Sunset Mix Edit).jams,0.011495638837829386
"3086101 Space Tribe, Laughing Buddha - One Drop (Original).jams",0.009984088572622125
